Scramble,Solution
F,F' 
F',F 
U',U 
F',F 
F,F' 
U',U 
F',F 
F,F' 
F2,F2 
R',R 
U,U' 
R,R' 
F',F 
U2,U2 
R,R' 
R,R' 
F2,F2 
U,U' 
F',F 
R2,R2 
R',R 
F,F' 
R',R 
R',R 
F,F' 
R,R' 
R',R 
R2,R2 
U2,U2 
U2,U2 
F2,F2 
F',F 
F,F' 
R2,R2 
U',U 
R',R 
F',F 
U,U' 
R,R' 
U2,U2 
U',U 
U2,U2 
F2,F2 
U2,U2 
U',U 
U,U' 
F,F' 
U,U' 
U2,U2 
U2,U2 
F',F 
U2,U2 
F2,F2 
F,F' 
R2,R2 
U,U' 
U,U' 
R',R 
F',F 
U2,U2 
R,R' 
R,R' 
R2,R2 
F,F' 
F',F 
U',U 
R,R' 
R,R' 
F,F' 
U',U 
U2,U2 
U',U 
F2,F2 
U2,U2 
U',U 
F',F 
U,U' 
R,R' 
R',R 
R,R' 
R2,R2 
R2,R2 
R,R' 
F2,F2 
U2,U2 
U2,U2 
U,U' 
R,R' 
U',U 
R',R 
U',U 
R',R 
R2,R2 
U',U 
R2,R2 
F,F' 
U2,U2 
U',U 
F',F 
F',F 
U,U' 
U',U 
R,R' 
F2,F2 
U',U 
F',F 
R',R 
F',F 
U,U' 
R,R' 
F',F 
U',U 
R2,R2 
F,F' 
R2,R2 
U',U 
R',R 
R,R' 
U2,U2 
R',R 
U,U' 
F2,F2 
F,F' 
U,U' 
U2,U2 
F2,F2 
F2,F2 
R',R 
R,R' 
R,R' 
U,U' 
R2,R2 
R,R' 
R,R' 
R',R 
F,F' 
U2,U2 
F',F 
U2,U2 
R2,R2 
F',F 
R2,R2 
U',U 
U2,U2 
F',F 
F',F 
U,U' 
F,F' 
F',F 
U',U 
U,U' 
U2,U2 
F,F' 
R,R' 
R',R 
R',R 
R,R' 
U2,U2 
U2,U2 
U2,U2 
R',R 
F2,F2 
R2,R2 
F,F' 
U',U 
R2,R2 
R2,R2 
R',R 
R,R' 
F2,F2 
R',R 
R,R' 
U2,U2 
F,F' 
F2,F2 
F2,F2 
U2,U2 
F',F 
U',U 
R,R' 
U,U' 
U,U' 
U,U' 
U,U' 
F',F 
R',R 
U',U 
U',U 
F',F 
F,F' 
R2,R2 
U,U' 
R',R 
R2,R2 
F,F' 
U2,U2 
R2,R2 
F',F 
R2,R2 
U',U 
R2,R2 
F2,F2 
F',F 
U2,U2 
U,U' 
F,F' 
F2,F2 
R2,R2 
R,R' 
R2,R2 
R2,R2 
R,R' 
R,R' 
R',R 
F',F 
R2,R2 
F,F' 
R',R 
R',R 
F',F 
F2,F2 
F2,F2 
U2,U2 
R,R' 
F',F 
R,R' 
U',U 
F,F' 
R',R 
R',R 
U2,U2 
U,U' 
U',U 
U',U 
R2,R2 
F',F 
U,U' 
F,F' 
F',F 
U',U 
R2,R2 
U2,U2 
U2,U2 
R2,R2 
U2,U2 
U,U' 
F,F' 
R',R 
F',F 
U',U 
U',U 
F2,F2 
R2,R2 
U2,U2 
U2,U2 
F',F 
R,R' 
R2,R2 
R2,R2 
R,R' 
U2,U2 
F2,F2 
F2,F2 
F2,F2 
F2,F2 
U',U 
R2,R2 
R',R 
U',U 
R,R' 
U',U 
F,F' 
R',R 
F,F' 
R',R 
U,U' 
R,R' 
U,U' 
R',R 
F,F' 
R',R 
R2,R2 
F2,F2 
R,R' 
U',U 
R',R 
F2,F2 
U,U' 
F',F 
F2,F2 
R',R 
U,U' 
R,R' 
F2,F2 
U',U 
U',U 
F',F 
R,R' 
F2,F2 
U',U 
U',U 
F2,F2 
U,U' 
F2,F2 
U',U 
F,F' 
F2,F2 
R2,R2 
U',U 
U2,U2 
F',F 
U,U' 
F,F' 
F,F' 
U,U' 
U,U' 
R,R' 
R,R' 
R2,R2 
F2,F2 
F,F' 
U2,U2 
F',F 
R,R' 
R2,R2 
U',U 
R,R' 
R',R 
F2,F2 
R,R' 
F2,F2 
R2,R2 
U2,U2 
R,R' 
F2,F2 
U2,U2 
F2,F2 
F',F 
R,R' 
F,F' 
F,F' 
U,U' 
U,U' 
R2,R2 
U,U' 
F',F 
R',R 
U,U' 
U',U 
F2,F2 
U,U' 
R,R' 
R2,R2 
F2,F2 
U2,U2 
R,R' 
R,R' 
R',R 
R',R 
R,R' 
R',R 
R',R 
U',U 
F,F' 
F',F 
U,U' 
U,U' 
R,R' 
U,U' 
R,R' 
R,R' 
R2,R2 
R2,R2 
F2,F2 
R',R 
U,U' 
U2,U2 
R',R 
F',F 
R,R' 
R',R 
R,R' 
U',U 
U',U 
F',F 
F,F' 
F',F 
F,F' 
F',F 
U2,U2 
U',U 
F2,F2 
F,F' 
F,F' 
R',R 
R,R' 
U2,U2 
U',U 
F,F' 
F',F 
U,U' 
U2,U2 
U2,U2 
R2,R2 
F2,F2 
U2,U2 
R',R 
R,R' 
R,R' 
R',R 
U',U 
U,U' 
U2,U2 
U,U' 
R',R 
U',U 
F,F' 
F',F 
U,U' 
R,R' 
R2,R2 
F',F 
R2,R2 
U2,U2 
U',U 
U2,U2 
F,F' 
U2,U2 
U2,U2 
R,R' 
U2,U2 
R2,R2 
R2,R2 
R2,R2 
R',R 
U,U' 
F',F 
R2,R2 
R',R 
R2,R2 
U2,U2 
R',R 
U',U 
R',R 
R',R 
U',U 
R',R 
F2,F2 
U,U' 
U,U' 
F',F 
F,F' 
R',R 
R',R 
F,F' 
U',U 
R',R 
R2,R2 
R2,R2 
R,R' 
R',R 
F',F 
R',R 
R,R' 
R,R' 
U,U' 
R',R 
R2,R2 
R2,R2 
R',R 
F2,F2 
R,R' 
R2,R2 
F,F' 
R',R 
F2,F2 
R,R' 
U2,U2 
F,F' 
U,U' 
R2,R2 
F,F' 
R2,R2 
U2,U2 
R,R' 
F',F 
F2,F2 
R,R' 
R,R' 
F2,F2 
R2,R2 
U,U' 
R,R' 
R,R' 
F2,F2 
R2,R2 
F',F 
U,U' 
R2,R2 
U2,U2 
R,R' 
U',U 
R,R' 
F2,F2 
R2,R2 
R2,R2 
F,F' 
F',F 
R',R 
F2,F2 
F2,F2 
U,U' 
F2,F2 
F2,F2 
R,R' 
R,R' 
F,F' 
F,F' 
U2,U2 
F,F' 
F2,F2 
F,F' 
R,R' 
U,U' 
F2,F2 
R2,R2 
R,R' 
U,U' 
U2,U2 
F,F' 
F,F' 
F2,F2 
U',U 
F,F' 
F',F 
R,R' 
R,R' 
U2,U2 
U2,U2 
U',U 
F',F 
F,F' 
F,F' 
F',F 
F',F 
F,F' 
U,U' 
U,U' 
R,R' 
U2,U2 
R2,R2 
U,U' 
R,R' 
F,F' 
R,R' 
R',R 
F',F 
U,U' 
F,F' 
F2,F2 
R,R' 
U2,U2 
F,F' 
R,R' 
U2,U2 
F',F 
R,R' 
F,F' 
F',F 
U',U 
R',R 
F',F 
F',F 
R',R 
F',F 
F,F' 
U2,U2 
R2,R2 
F,F' 
R,R' 
F2,F2 
R2,R2 
R',R 
R2,R2 
R',R 
U,U' 
F2,F2 
U2,U2 
U2,U2 
R',R 
R',R 
U',U 
U2,U2 
U',U 
R',R 
F,F' 
U',U 
R2,R2 
F',F 
U,U' 
U,U' 
U,U' 
R',R 
F',F 
R',R 
U',U 
U2,U2 
F,F' 
F',F 
R,R' 
F',F 
R',R 
U,U' 
U2,U2 
U,U' 
R',R 
R',R 
R2,R2 
R',R 
U,U' 
U,U' 
U',U 
U2,U2 
F2,F2 
F',F 
R',R 
R',R 
F',F 
U,U' 
F,F' 
F2,F2 
U',U 
R,R' 
R,R' 
R,R' 
F2,F2 
R',R 
R',R 
U2,U2 
R,R' 
F2,F2 
R,R' 
F',F 
R',R 
R2,R2 
F2,F2 
R',R 
U',U 
R,R' 
U,U' 
F2,F2 
F',F 
U2,U2 
U',U 
U,U' 
U',U 
R',R 
R,R' 
U',U 
F',F 
R2,R2 
F,F' 
R',R 
R',R 
F',F 
U',U 
F,F' 
R2,R2 
F2,F2 
U,U' 
F',F 
F2,F2 
U,U' 
R,R' 
U2,U2 
R',R 
F,F' 
U',U 
U2,U2 
R2,R2 
R,R' 
U2,U2 
F2,F2 
U2,U2 
F2,F2 
F',F 
R',R 
U,U' 
R',R 
F',F 
U2,U2 
U2,U2 
R2,R2 
R',R 
F2,F2 
R,R' 
F',F 
F2,F2 
R,R' 
U2,U2 
R2,R2 
U',U 
F,F' 
F,F' 
F',F 
U',U 
F',F 
F,F' 
U2,U2 
F,F' 
U,U' 
R,R' 
U2,U2 
U2,U2 
R2,R2 
U',U 
R',R 
F,F' 
U,U' 
U',U 
R,R' 
R',R 
R,R' 
F2,F2 
U',U 
F,F' 
U,U' 
F2,F2 
F2,F2 
F2,F2 
U2,U2 
F,F' 
R,R' 
R,R' 
R',R 
F2,F2 
R,R' 
R',R 
R',R 
U',U 
F2,F2 
U,U' 
U',U 
U',U 
R2,R2 
R,R' 
R2,R2 
U,U' 
U,U' 
F2,F2 
F,F' 
R2,R2 
U',U 
R2,R2 
F,F' 
R',R 
R,R' 
F2,F2 
U2,U2 
R,R' 
U,U' 
F2,F2 
U,U' 
U,U' 
F',F 
R,R' 
R,R' 
R,R' 
R,R' 
U2,U2 
F',F 
F',F 
F2,F2 
F,F' 
R',R 
R,R' 
R,R' 
R,R' 
R,R' 
F',F 
R',R 
U2,U2 
F,F' 
F,F' 
R2,R2 
R2,R2 
F2,F2 
R',R 
U',U 
R2,R2 
R2,R2 
F2,F2 
R2,R2 
U',U 
F,F' 
F',F 
F2,F2 
R,R' 
U2,U2 
F2,F2 
F,F' 
R2,R2 
U',U 
F,F' 
U2,U2 
U2,U2 
U2,U2 
R2,R2 
R2,R2 
F2,F2 
R2,R2 
U',U 
U,U' 
F,F' 
U',U 
F2,F2 
R,R' 
U,U' 
R2,R2 
U,U' 
R2,R2 
U2,U2 
U',U 
R',R 
R',R 
R2,R2 
R',R 
R',R 
R,R' 
U,U' 
F',F 
F2,F2 
F,F' 
F2,F2 
U2,U2 
R2,R2 
R2,R2 
R2,R2 
U',U 
R',R 
R2,R2 
U2,U2 
U,U' 
U,U' 
R2,R2 
R2,R2 
U2,U2 
R2,R2 
R',R 
U,U' 
R,R' 
U,U' 
F2,F2 
F2,F2 
R,R' 
F,F' 
U',U 
U,U' 
F2,F2 
F2,F2 
F,F' 
U2,U2 
U,U' 
R2,R2 
F2,F2 
R,R' 
U',U 
R',R 
U2,U2 
F,F' 
F2,F2 
F2,F2 
R,R' 
F,F' 
U,U' 
R',R 
F',F 
R',R 
R2,R2 
U,U' 
F',F 
U,U' 
R,R' 
U',U 
R,R' 
F',F 
U,U' 
F',F 
U',U 
U',U 
U2,U2 
F2,F2 
F,F' 
F,F' 
F,F' 
R',R 
R',R 
F,F' 
F',F 
U,U' 
U2,U2 
F',F 
U',U 
R2,R2 
R2,R2 
R,R' 
U,U' 
R2,R2 
R,R' 
R',R 
F2,F2 
F',F 
R,R' 
F,F' 
F,F' 
F2,F2 
U',U 
R',R 
U2,U2 
U,U' 
F',F 
R,R' 
F2,F2 
R2,R2 
R2,R2 
R',R 
R',R 
F',F 
F',F 
U',U 
R',R 
U',U 
R2,R2 
R,R' 
U,U' 
R,R' 
R,R' 
R',R 
F2,F2 
R2,R2 
F,F' 
R2,R2 
U2,U2 
F,F' 
U,U' 
R,R' 
F,F' 
F2,F2 
F2,F2 
R2,R2 
R2,R2 
R2,R2 
R,R' 
R,R' 
R',R 
U2,U2 
R',R 
F2,F2 
R2,R2 
U,U' 
U',U 
R2,R2 
R',R 
R,R' 
U',U 
F2,F2 
F,F' 
R',R 
U2,U2 
R2,R2 
F',F 
R',R 
R',R 
U,U' 
U',U 
F',F 
R2,R2 
R,R' 
R',R 
F2,F2 
F',F 
F',F 
U2,U2 
F',F 
U',U 
F',F 
U,U' 
R,R' 
U',U 
F',F 
U2,U2 
F,F' 
U,U' 
R',R 
F,F' 
U2,U2 
U,U' 
U',U 
U',U 
R',R 
